,R2,RMSE,model,type
0,0.958173720963379,9.472822744497824,Ridge,347
1,0.960256119756874,9.234001237267014,Elastic,347
2,0.9973421123250849,2.387938333249284,Tree,347
3,0.9906764058806344,4.472460104881235,KNN,347
4,0.9808555922586621,6.408785901427736,SVM,347
5,0.9938866651086645,3.621545027760179,RF,347
6,0.9934950588393485,3.7357386180191385,XGB,347
7,0.9648959491471305,5.5678214000422175,Ridge,304
8,0.9650924002433721,5.552220077836647,Elastic,304
9,0.9847104120221349,3.6745534541960048,Tree,304
10,0.9782861551588821,4.379000990972239,KNN,304
11,0.9677970958924909,5.3327865108069314,SVM,304
12,0.9861569504720337,3.496411699167702,RF,304
13,0.9776630579207791,4.441386185524862,XGB,304
14,0.8487671813142676,7.09113673338963,Ridge,316
15,0.8482271606380902,7.1037859325378125,Elastic,316
16,0.8587826492285802,6.852307853628584,Tree,316
17,0.9873693012172557,2.0493046496762823,KNN,316
18,0.7111451405982572,9.800148924952257,SVM,316
19,0.9183167247228541,5.211459991881675,RF,316
20,0.930367449567213,4.811704934880246,XGB,316
21,0.9953627539334895,3.8915100764886184,Ridge,A286
22,0.9945494702946513,4.218979780423169,Elastic,A286
23,0.9838465367767978,7.263081411985113,Tree,A286
24,0.9879949415893325,6.26138238760557,KNN,A286
25,0.9951711319376488,3.971099403192939,SVM,A286
26,0.9913977055222589,5.300236411650826,RF,A286
27,0.9929603483149582,4.794724677510368,XGB,A286
