,ID,ACEE_30_Avg_38,ACEE_500_Avg_38,Avg_EFC,Avg_RP,ACPD_Avg_38
0,41C,-0.24998333333333325,-2.6647166666666666,97.424,190.97929405440004,3.726050550508095
1,43C,-0.39635333333333334,-2.390293333333333,95.836,184.9302145824,3.064433840498315
2,44C,-0.49960666666666675,-2.747296666666667,96.436,187.20426066240003,2.720380957460376
3,45C,-0.5825433333333333,-3.0513266666666667,96.91,189.01063314,3.0647319450528734
4,7C,-1.0796,-1.5042966666666666,94.287,179.12396435860003,2.9573024113448896
5,13C,-0.38181666666666675,-1.5416733333333335,91.837,170.13049063860004,3.078895021881117
6,8C,-0.8785533333333332,-1.5304833333333334,91.764,169.8660949024,2.787400456818245
7,35C,-0.8139000000000002,-1.29897,92.165,171.321012165,2.647839384084659
8,24C,-0.6276999999999999,-1.9857533333333333,93.023,174.45498346259998,3.041253303960996
9,34C,-0.88564,-1.3774866666666667,91.811,170.03629858740004,2.8111819043151436
10,9C,-0.9288,-1.7036866666666668,92.648,173.08172693759997,3.286367051665738
11,10C,-0.8046066666666666,-1.77993,92.248,171.6229339776,1.9936597922836612
12,19C,-0.9278533333333332,-1.4585366666666666,92.331,171.9251230834,2.4739021908898455
13,30C,-0.46121999999999996,-0.9833966666666668,93.014,174.42196140239997,2.605252894638009
14,32C,-0.6597466666666668,-1.5990766666666663,91.723,169.71768934259998,2.292964665854754
15,46C,-1.0772533333333332,-1.1847566666666667,92.496,172.52665431039998,2.8186731987787987
16,23C,-0.5748733333333335,-0.98549,92.736,173.4034945024,2.5362826629452173
17,25C,-0.7089333333333333,-0.9224800000000001,92.551,172.72739945939998,2.435773860646208
18,21C,-0.8652433333333333,-1.6091566666666666,92.9,174.00395400000005,2.305977724230848
19,47C,-1.084903333333333,-1.41759,93.503,176.22071357460004,3.066596055915991
20,26C,-0.7864366666666666,-1.1088733333333334,91.771,169.8914389554,3.1518719595814297
21,27C,-0.6555933333333333,-1.2778633333333334,92.814,173.68894876239997,2.150684051512823
22,28C,-1.03632,-1.3494533333333332,92.122,171.16469994960002,2.220399373690454
23,48C,-0.9820233333333334,-1.5862733333333334,92.294,171.7903792584,3.376180334134041
24,37C,-0.8531833333333333,-1.4074366666666664,91.765,169.86971536500002,2.111396615860716
25,39C,-0.71543,-0.8095733333333334,93.975,177.96573212499996,2.691097141889916
26,42C,-0.9489900000000001,-0.9541166666666667,91.739,169.77559594740003,3.037893879714485
27,49C,-0.8001133333333333,-1.40898,92.258,171.65932814159999,2.7412866737476747
28,20C,-0.79527,-0.79527,91.807,170.0218098306,2.399207826702482
29,14C,-0.8470566666666667,-0.8470566666666667,88.812,159.3476040736,2.5156831165180256
30,38C,-1.031526666666667,-1.3221366666666665,90.549,165.4958951794,2.918124098855259
31,16C,-1.0484866666666666,-1.76947,91.679,169.55849739540002,1.6234296120982155
32,6C,-0.9714599999999998,-1.6001640000000001,87.89620000000001,156.15316630413605,2.6944072128809453
33,36C,-0.8899519999999999,-0.589952,91.86816,170.24341074264066,2.2484839797875207
34,29C,-0.8672299999999998,-1.2458733333333332,90.3614,164.826226633224,2.733214596696324
35,31C,-1.1250799999999999,-1.1250799999999999,89.75005999999999,162.65342503806983,2.588874014711156
