ID,Observed,F_Time,NDE_cycle,diff_two_peaks_ratio,amp_ratio,pos_ratio,energy_ratio,NLE_ratio_51_17,NLE_ratio_85_17,NLO_avg,Avg_RP,ACEE_30_Avg_58,ACEE_500_Avg_58,ACPD_Avg_58
41C,True,2154137.0,0,2.104870679011794,1.1852355762643165,1.0029876413664451,1.55945276642557,0.8932682442077368,1.107898138699911,5.576475790012701,190.9792940544,-0.13763999999999987,-2.86603,4.804749137240916
44C,True,1318034.0,0,2.2809593041657665,1.3653293872458296,0.9984456936999754,1.504218061937614,0.8885029325169124,1.1405351273978104,4.619562972459,187.2042606624,-0.5963850000000002,-2.7884999999999995,3.370729062439798
45C,False,3245267.0,0,1.245686932332187,0.809969771923928,0.9893506493506493,1.2820462531292693,0.8965341470359732,1.1375612122575676,3.4583373034347202,189.01063314,-0.64571,-3.20222,4.1866385825997785
19C,True,464392.0,450000,0.7632958897375405,1.1289277796521937,1.0024074808062124,1.1268494911138611,0.9788765807635323,1.2355079684453676,3.7987359319347798,171.9251230834,-1.065155,-1.57074,3.2269569882483964
32C,True,306142.0,450000,0.6107706505244941,1.1377132065180344,0.9942826462351081,0.8449615569678495,0.8448239703485293,1.091098675581488,4.29626140022134,169.71768934259995,-0.6171900000000002,-1.3124149999999997,2.9079217386689056
23C,False,2255225.0,600000,0.39757958521481346,0.9194725587376614,0.9998610196766878,0.8466531995005913,0.9186993057345724,1.1147615566676718,5.62183323682647,173.4034945024,-0.83111,-1.19454,3.0617427199622016
25C,False,1444844.0,600000,0.8214447380164944,1.1783192841739543,1.0031580644215832,1.1413125075008852,0.8810517429063199,1.0837178220233668,3.06169324400625,172.72739945939998,-0.912065,-0.927155,3.284086637944961
21C,True,200007.0,600000,0.7054015007154194,1.151888969599485,0.9849680814354727,0.853808382838656,0.9294457218192452,1.1196347513291653,4.6263142697109805,174.00395400000005,-0.8848999999999999,-1.5787950000000002,2.7648617369244146
27C,True,297627.0,750000,0.14414726404354908,0.7775847597709579,1.0029660954730335,0.3947308338005406,0.9129622752632144,1.1127078371015515,5.0206072647652995,173.68894876239997,-1.276355,-1.60215,2.7466341761083166
26C,False,2829121.0,750000,0.4530259139792519,1.0521527144858809,1.003190566509344,0.8679998003219027,0.8907211397270297,1.0910594050845557,4.83116085855715,169.89143895540002,-0.6878,-1.269005,3.820881072383677
28C,False,1537912.0,750000,0.30744386166176724,1.046796469271758,1.0153630269452805,0.6189723605571061,0.8847775583023527,1.0371327979666414,7.862191750884559,171.16469994960002,-0.8627199999999999,-1.2809549999999998,2.8396265734039816
48C,False,1266052.0,750000,0.6511775746942405,0.7255767032746048,0.9922305981572943,0.8522288911594961,0.8956278068835357,1.100059554120886,6.16477725219922,171.7903792584,-0.9269149999999999,-1.7042599999999999,4.225329417566708
37C,True,514878.0,900000,0.29753594493145696,0.9639533824840936,1.0105277851244527,0.7455937293797841,0.893215133196498,1.1314095830086366,3.44692107938055,169.86971536500005,-0.8630800000000001,-1.6935900000000002,2.3751927531471275
39C,False,2101992.0,900000,0.8682652123529523,0.6560734086378543,1.0016956833165227,0.694331232342597,0.8908076553249021,1.1446686827427466,6.348333565950379,177.96573212499996,-1.1929150000000002,-1.12691,3.1864471864163124
42C,True,603724.0,900000,0.5142056074499467,1.2060352589236452,0.9896977326330106,0.8178191756670128,0.9163635206426886,1.1626741439542876,6.875911460864231,169.77559594740003,-0.92684,-1.24377,4.044555371045278
49C,False,2143805.0,900000,0.4442178620617416,1.2068808350362628,0.9829722473474897,0.79832516684812,0.8759189724011104,1.1386209645277001,6.897755733546879,171.65932814159999,-0.6662750000000001,-1.364115,3.6113480659010935
